trial,state,objective,avg_composite,avg_vif,avg_nrqm,avg_unique,denoise_radius,ltm_radius,ltm_downsample,post_denoise_radius,sharp_radius,raw_y_blur_radius,day_vif,day_nrqm,day_unique,day_composite,night_vif,night_nrqm,night_unique,night_composite
51,trialstate.complete,1.915327307737738,1.915327307737738,0.7141732970873516,7.685143311818441,1.2979203363259633,4,6,0.25,0,1.5,6,0.5259876251220703,7.754435062408447,0.9710051019986471,1.6250991750274302,0.9023589690526327,7.6158515612284345,1.6248355706532795,2.2055554404480455
52,trialstate.complete,1.9150194429088434,1.9150194429088434,0.714264710744222,7.685614347457886,1.296581188837687,4,4,0.25,0,1.5,6,0.5261029203732809,7.755010604858398,0.9699779748916626,1.624929649163683,0.9024265011151632,7.616218090057373,1.6231844027837117,2.2051092366540037
53,trialstate.complete,1.9150032357500097,1.9150032357500097,0.7142568528652191,7.6855943997701015,1.2965621252854664,4,4,0.25,0,1.5,9,0.5260842045148214,7.754970709482829,0.969963808854421,1.6249022217599751,0.9024295012156168,7.616218090057373,1.623160441716512,2.205104249740044
54,trialstate.complete,1.8332644788278838,1.8332644788278838,0.659393717845281,7.79936146736145,1.181805024544398,4,4,0.25,1,1.5,8,0.5209909876187643,7.660815874735515,0.9848107298215231,1.6153424900959135,0.7977964480717977,7.937907059987386,1.378799319267273,2.0511864675598543
55,trialstate.complete,1.9150097955721814,1.9150097955721814,0.7142632901668549,7.6855943997701015,1.2965624928474426,4,5,0.25,0,1.5,10,0.5261023839314779,7.754970709482829,0.9699620405832926,1.6249198117535115,0.9024241964022318,7.616218090057373,1.6231629451115925,2.2050997793908516
56,trialstate.complete,1.6929203044182062,1.6929203044182062,0.8179402252038319,7.084984461466472,0.49944539864857995,4,5,1.0,0,1.5,10,0.6954926252365112,6.412339369455974,0.2242173751195272,1.4114656124828258,0.9403878251711527,7.75762955347697,0.7746734221776327,1.9743749963535866
57,trialstate.complete,1.707757946376602,1.707757946376602,0.7558084428310394,6.9219729105631504,0.7792574167251587,4,4,0.75,1,1.5,10,0.6366659800211588,5.86497688293457,0.543549915154775,1.4043467921829025,0.87495090564092,7.9789689381917315,1.0149649182955425,2.011169100570301
58,trialstate.complete,1.9150194429088434,1.9150194429088434,0.714264710744222,7.685614347457886,1.296581188837687,4,5,0.25,0,1.5,6,0.5261029203732809,7.755010604858398,0.9699779748916626,1.624929649163683,0.9024265011151632,7.616218090057373,1.6231844027837117,2.2051092366540037
59,trialstate.complete,1.8690995644128223,1.8690995644128223,0.7993393341700236,7.290798823038736,1.022042065858841,4,5,0.5,0,1.5,6,0.6293483773867289,6.588390191396077,0.6873663862546285,1.5173092961557506,0.9693302909533182,7.9932074546813965,1.3567177454630535,2.220889832669894
60,trialstate.complete,1.8335510185477437,1.8335510185477437,0.6594134171803793,7.798649231592814,1.1828192174434662,4,6,0.25,1,1.5,7,0.5210194190343221,7.661611715952556,0.985216478506724,1.6155857550596597,0.7978074153264364,7.935686747233073,1.3804219563802083,2.051516282035828
61,trialstate.complete,1.914996269953231,1.914996269953231,0.7142503261566162,7.685583750406901,1.296564002831777,4,4,0.25,0,1.5,8,0.5260745286941528,7.754970709482829,0.9699667692184448,1.6248935327263276,0.9024261236190796,7.616196791330974,1.6231612364451091,2.2050990071801344
62,trialstate.complete,1.9150194429088434,1.9150194429088434,0.714264710744222,7.685614347457886,1.296581188837687,4,4,0.25,0,1.5,6,0.5261029203732809,7.755010604858398,0.9699779748916626,1.624929649163683,0.9024265011151632,7.616218090057373,1.6231844027837117,2.2051092366540037
63,trialstate.complete,1.9150194429088434,1.9150194429088434,0.714264710744222,7.685614347457886,1.296581188837687,4,5,0.25,0,1.5,6,0.5261029203732809,7.755010604858398,0.9699779748916626,1.624929649163683,0.9024265011151632,7.616218090057373,1.6231844027837117,2.2051092366540037
