step,lr,loss,ms_ssim,vif,nrqm,unique,vif_term,a_nrqm_term,b_unique_term,composite,l1_y,l1_uv,head_grad_mean,body_grad_mean,tail_grad_mean
49,0.00100000,-1.69871485,0.92343241,0.45523113,2.32775617,2.26144147,0.45523113,0.23277562,0.75381307,1.44181982,0.03075187,0.39719382,0.12787996,0.03155543,0.70271707
50,0.00100000,-1.69378197,0.90869057,0.46718839,2.39149308,2.28848624,0.46718839,0.23914931,0.76282798,1.46916568,0.03720059,0.41611031,0.05850633,0.01507131,0.47358719
51,0.00100000,-1.68909276,0.91097504,0.48922282,2.39382720,2.24643421,0.48922282,0.23938272,0.74881066,1.47741620,0.04776349,0.42579406,0.04161732,0.01115541,0.19391215
52,0.00100000,-1.69370341,0.92388678,0.50407785,2.37718987,2.20518351,0.50407785,0.23771899,0.73506043,1.47685727,0.04820920,0.42961866,0.05486457,0.01355452,0.13306731
53,0.00100000,-1.68925643,0.92732930,0.50735092,2.41118193,2.17474556,0.50735092,0.24111819,0.72491446,1.47338358,0.04014662,0.42701703,0.02229529,0.00760783,0.18278705
54,0.00100000,-1.69834483,0.92379528,0.49423087,2.38410830,2.22789598,0.49423087,0.23841083,0.74263125,1.47527295,0.03393100,0.42088473,0.03587544,0.01127564,0.20335594
55,0.00100000,-1.70436800,0.91282332,0.47164181,2.40774202,2.30528736,0.47164181,0.24077420,0.76842835,1.48084436,0.05535777,0.41534066,0.03305875,0.00992364,0.06198421
56,0.00100000,-1.70824218,0.90276986,0.45461830,2.41297579,2.36692810,0.45461830,0.24129758,0.78897524,1.48489113,0.05910617,0.40991628,0.02390597,0.00750484,0.11993624
57,0.00100000,-1.71947217,0.90676588,0.45837864,2.41270089,2.38517618,0.45837864,0.24127009,0.79505793,1.49470666,0.04179517,0.40360183,0.01607022,0.00552161,0.15737857
58,0.00100000,-1.72541904,0.91639555,0.47501346,2.35728025,2.35456896,0.47501346,0.23572803,0.78485553,1.49559702,0.03942589,0.39851362,0.01594761,0.00489339,0.14239986
59,0.00100000,-1.72822022,0.92157376,0.48757410,2.36175871,2.33217621,0.48757410,0.23617587,0.77739129,1.50114126,0.05864181,0.39278704,0.01592773,0.00546869,0.07342881
60,0.00100000,-1.75109017,0.92534000,0.48854452,2.39722896,2.39228702,0.48854452,0.23972290,0.79742821,1.52569563,0.05681396,0.38499182,0.01933977,0.00703248,0.20942022
61,0.00100000,-1.75220108,0.93013245,0.48560804,2.34311748,2.37751913,0.48560804,0.23431175,0.79250558,1.51242537,0.04094411,0.36869496,0.02422516,0.00816685,0.33115125
62,0.00100000,-1.74501646,0.93223828,0.47925228,2.38897467,2.34978509,0.47925228,0.23889747,0.78326091,1.50141066,0.04557598,0.35932970,0.01216239,0.00448444,0.10597561
63,0.00100000,-1.76226413,0.92801714,0.48481613,2.34493685,2.41804647,0.48481613,0.23449368,0.80601469,1.52532450,0.04828670,0.36611879,0.04091696,0.01085446,0.31722051
64,0.00100000,-1.77054691,0.93103987,0.50768346,2.36011219,2.41843581,0.50768346,0.23601122,0.80614446,1.54983914,0.03405567,0.38328713,0.02102089,0.00654071,0.32331288
65,0.00100000,-1.71506131,0.93304980,0.52912998,2.46144152,2.21275353,0.52912998,0.24614415,0.73758377,1.51285791,0.05170996,0.40553573,0.02055561,0.00659984,0.25439972
66,0.00100000,-1.75267375,0.93946314,0.50649804,2.44271421,2.33637381,0.50649804,0.24427142,0.77879049,1.52955995,0.05497697,0.39651018,0.09804573,0.03607942,0.55268067
67,0.00100000,-1.73372877,0.94660932,0.47800019,2.41480422,2.27347898,0.47800019,0.24148042,0.75782557,1.47730619,0.05231896,0.38324293,0.03091589,0.00974845,0.09115842
68,0.00100000,-1.76144743,0.94133556,0.46487126,2.36398625,2.39687204,0.46487126,0.23639863,0.79895655,1.50022643,0.04687507,0.38411152,0.05475065,0.01659721,0.28933337
69,0.00100000,-1.76563108,0.92477489,0.44886804,2.46164441,2.48364186,0.44886804,0.24616444,0.82787979,1.52291227,0.04867584,0.38896936,0.02083964,0.00662333,0.12269858
70,0.00100000,-1.76735497,0.93226105,0.46083528,2.44037437,2.45178604,0.46083528,0.24403744,0.81726120,1.52213391,0.05335448,0.38692534,0.02779919,0.01079746,0.18235759
71,0.00100000,-1.76790571,0.94438553,0.48334396,2.39185762,2.38635778,0.48334396,0.23918576,0.79545180,1.51798152,0.04331492,0.37390357,0.01517343,0.00704606,0.27996007
72,0.00100000,-1.78379989,0.93794239,0.49052665,2.39318657,2.45208406,0.49052665,0.23931866,0.81736054,1.54720584,0.03655083,0.36925772,0.05706587,0.01419327,0.14170434
73,0.00100000,-1.78881943,0.92893910,0.49561760,2.41631722,2.49424243,0.49561760,0.24163172,0.83141331,1.56866263,0.03477567,0.37077832,0.02563344,0.00716275,0.08418832
74,0.00100000,-1.78564739,0.92673832,0.50421429,2.38725519,2.48284984,0.50421429,0.23872552,0.82761578,1.57055559,0.03887618,0.37210214,0.01706845,0.00549624,0.06303441
75,0.00100000,-1.78824496,0.93655139,0.51252908,2.48304319,2.44695592,0.51252908,0.24830432,0.81565116,1.57648455,0.04397483,0.36151931,0.04798499,0.01296137,0.24877259
76,0.00100000,-1.78475106,0.93985456,0.51503623,2.43613005,2.42001057,0.51503623,0.24361300,0.80666938,1.56531861,0.04687380,0.35617590,0.01456612,0.00593898,0.11553102
77,0.00100000,-1.80150020,0.93507344,0.51192904,2.47012687,2.49542451,0.51192904,0.24701269,0.83180734,1.59074906,0.04180861,0.35779408,0.03285248,0.00865034,0.16361795
78,0.00100000,-1.80744183,0.93003380,0.50028801,2.45138431,2.54490590,0.50028801,0.24513843,0.84830112,1.59372756,0.03472964,0.36150140,0.01251038,0.00463790,0.08708187
79,0.00100000,-1.81134892,0.93270695,0.49134198,2.54498243,2.55657554,0.49134198,0.25449824,0.85219099,1.59803122,0.03262115,0.35733521,0.01682619,0.00518096,0.15598659
80,0.00100000,-1.81462157,0.94245809,0.49016610,2.58064103,2.53278542,0.49016610,0.25806410,0.84426096,1.59249116,0.03762512,0.34721953,0.01544631,0.00478399,0.14419267
81,0.00100000,-1.81632578,0.94775087,0.49425960,2.57024932,2.51650763,0.49425960,0.25702493,0.83883504,1.59011956,0.05510223,0.34655312,0.02293216,0.00570200,0.17924200
82,0.00100000,-1.81824589,0.94793266,0.50097096,2.61406875,2.51452827,0.50097096,0.26140687,0.83817525,1.60055309,0.05867659,0.34336588,0.01394397,0.00496777,0.14534529
83,0.00100000,-1.82265639,0.94541562,0.50572890,2.60716033,2.52969480,0.50572890,0.26071603,0.84323076,1.60967569,0.04536984,0.33386463,0.01457791,0.00582918,0.22233392
84,0.00100000,-1.82320273,0.93918616,0.50287026,2.57805562,2.55385590,0.50287026,0.25780556,0.85128445,1.61196027,0.03602739,0.33001319,0.01358951,0.00428818,0.09544851
85,0.00100000,-1.82784927,0.93917280,0.50554144,2.60810971,2.56809783,0.50554144,0.26081097,0.85603175,1.62238417,0.03472112,0.33415261,0.02086915,0.00825876,0.15070863
86,0.00100000,-1.83133733,0.94416350,0.51120692,2.60447097,2.55820847,0.51120692,0.26044710,0.85273530,1.62438932,0.03525390,0.33650756,0.01439008,0.00584161,0.05825407
87,0.00100000,-1.83191311,0.94642693,0.51252687,2.61917567,2.55129361,0.51252687,0.26191757,0.85043035,1.62487479,0.03720727,0.33660021,0.01000998,0.00280668,0.05138462
88,0.00100000,-1.83317733,0.94613266,0.51608229,2.61220431,2.55180025,0.51608229,0.26122043,0.85059923,1.62790195,0.03976044,0.33320165,0.01235996,0.00460265,0.05911670
89,0.00100000,-1.83676481,0.94345015,0.52273011,2.61075091,2.56451058,0.52273011,0.26107509,0.85483601,1.63864121,0.04067381,0.32857633,0.01161913,0.00460263,0.05703183
90,0.00100000,-1.83915734,0.94050807,0.52648479,2.60573411,2.57750940,0.52648479,0.26057341,0.85916894,1.64622714,0.04097608,0.32549021,0.01167477,0.00400353,0.02612604
91,0.00100000,-1.84125280,0.93997586,0.53026778,2.55606699,2.58374119,0.53026778,0.25560670,0.86124620,1.64712068,0.04657701,0.32925895,0.00830785,0.00334760,0.13774846
92,0.00100000,-1.84143877,0.94213545,0.53382963,2.59328508,2.57430553,0.53382963,0.25932851,0.85810099,1.65125912,0.05080377,0.33137304,0.00872935,0.00384260,0.03324629
93,0.00100000,-1.84512889,0.94370234,0.53309053,2.56914544,2.58231211,0.53309053,0.25691454,0.86076984,1.65077492,0.05155738,0.33194205,0.01586244,0.00516537,0.04891080
94,0.00100000,-1.84678781,0.94489259,0.53119797,2.56832194,2.58602405,0.53119797,0.25683219,0.86200715,1.65003731,0.04919025,0.33271408,0.00542516,0.00179961,0.03643739
95,0.00100000,-1.84766412,0.94583327,0.52879047,2.57805610,2.58822584,0.52879047,0.25780561,0.86274108,1.64933717,0.04423029,0.33274052,0.00827816,0.00230249,0.03996103
96,0.00100000,-1.85081005,0.94799334,0.52805513,2.65936756,2.59263277,0.52805513,0.26593676,0.86421006,1.65820195,0.04098801,0.33389801,0.01421331,0.00467262,0.02167266
97,0.00100000,-1.85227644,0.94932413,0.52866584,2.80730200,2.59257865,0.52866584,0.28073020,0.86419202,1.67358806,0.03988464,0.33421081,0.00750873,0.00216752,0.02296990
98,0.00100000,-1.85327494,0.94985104,0.53117776,2.80568790,2.59086800,0.53117776,0.28056879,0.86362180,1.67536835,0.04069054,0.33189934,0.00559997,0.00182344,0.04681846
99,0.00100000,-1.85540283,0.94717097,0.53627974,2.85749745,2.60093594,0.53627974,0.28574975,0.86697778,1.68900726,0.04264041,0.32932824,0.01664442,0.00548780,0.04027572
100,0.00100000,-1.85600603,0.94574535,0.54003233,2.82760191,2.60467386,0.54003233,0.28276019,0.86822375,1.69101627,0.04514437,0.33151272,0.01013569,0.00310549,0.10696314
0,0.00010000,-0.79527748,0.91611290,0.53038996,1.66954780,-0.92337298,0.53038996,0.16695478,-0.30779069,0.38955406,0.06122396,0.02940533,,,
1,0.00010000,-1.01751316,0.91529584,0.52842224,1.60493731,-0.17757998,0.52842224,0.16049373,-0.05919327,0.62972270,0.06109130,0.03035281,0.06940070,0.04469760,1.43497753
2,0.00010000,-1.14742112,0.91706234,0.52627796,1.62378621,0.25358716,0.52627796,0.16237862,0.08452897,0.77318555,0.06095128,0.03600736,0.05708690,0.03353934,1.51988280
3,0.00010000,-1.27971625,0.91971493,0.52297610,1.64217162,0.68620080,0.52297610,0.16421716,0.22873337,0.91592663,0.05847146,0.02751768,0.04997279,0.02974962,2.41959691
4,0.00010000,-1.37232149,0.92059714,0.51880741,1.61959541,0.99509281,0.51880741,0.16195954,0.33169727,1.01246422,0.05770889,0.02445698,0.05668534,0.02793163,1.41719902
5,0.00010000,-1.46383882,0.92130089,0.51004267,1.63844776,1.30783427,0.51004267,0.16384478,0.43594432,1.10983176,0.05738030,0.02825181,0.07950566,0.03561864,1.75459492
6,0.00010000,-1.53612697,0.92245543,0.50191265,1.69273865,1.55472350,0.50191265,0.16927387,0.51824065,1.18942717,0.05785101,0.03319378,0.05958578,0.03341104,1.17226350
7,0.00010000,-1.59546316,0.92287350,0.49021620,1.77010584,1.76342261,0.49021620,0.17701058,0.58780695,1.25503373,0.05880786,0.03502051,0.03984556,0.02938898,1.38403523
8,0.00010000,-1.64389062,0.92272073,0.48024401,1.82638752,1.93540311,0.48024401,0.18263875,0.64513372,1.30801649,0.06262942,0.03524300,0.06610338,0.03190656,1.38378298
9,0.00010000,-1.68009162,0.92243671,0.47012284,2.08142734,2.06782007,0.47012284,0.20814273,0.68927267,1.36753825,0.06941678,0.03728019,0.05988250,0.03435614,0.77395260
